Berlin_a,Berlin_b,Berlin_c,Frankfurt_a,Frankfurt_b,Frankfurt_c,Leipzig_a,Leipzig_b,Leipzig_c,Potsdam_a,Potsdam_b,Potsdam_c,Potsdam (high density)_a,Potsdam (high density)_b,Potsdam (high density)_c,Potsdam (subset)_a,Potsdam (subset)_b,Potsdam (subset)_c
126.33333333333333,114.0,20.333333333333332,117.66666666666667,26.666666666666668,115.66666666666667,28.0,22.333333333333332,18.666666666666668,122.0,110.0,124.33333333333333,131.33333333333334,122.66666666666667,133.66666666666666,146.66666666666666,144.33333333333334,150.66666666666666
101.0,93.0,103.33333333333333,95.66666666666667,116.33333333333333,91.0,7.0,8.0,7.0,108.66666666666667,87.66666666666667,96.0,101.33333333333333,98.0,98.66666666666667,115.66666666666667,99.0,101.33333333333333
36.333333333333336,93.0,94.0,111.66666666666667,112.0,83.0,109.33333333333333,114.0,110.66666666666667,90.33333333333333,92.33333333333333,88.66666666666667,93.33333333333333,94.66666666666667,87.33333333333333,95.0,83.0,91.33333333333333
88.33333333333333,91.0,92.66666666666667,93.33333333333333,91.0,92.66666666666667,90.0,98.66666666666667,91.66666666666667,85.0,83.66666666666667,86.0,90.33333333333333,105.33333333333333,116.0,51.0,83.33333333333333,48.333333333333336
88.33333333333333,84.33333333333333,87.0,89.0,86.0,87.66666666666667,84.66666666666667,90.33333333333333,87.66666666666667,87.33333333333333,116.0,93.33333333333333,32.333333333333336,86.0,93.33333333333333,57.666666666666664,87.0,86.0
26.0,116.0,84.66666666666667,82.0,83.33333333333333,82.66666666666667,83.66666666666667,91.66666666666667,91.66666666666667,88.66666666666667,82.0,86.66666666666667,93.66666666666667,95.0,85.0,102.33333333333333,46.0,48.0
137.66666666666666,80.0,156.66666666666666,84.33333333333333,80.0,93.66666666666667,87.66666666666667,87.33333333333333,93.66666666666667,81.33333333333333,74.66666666666667,81.33333333333333,85.66666666666667,100.33333333333333,92.0,31.666666666666668,79.0,79.66666666666667
80.66666666666667,81.0,83.66666666666667,86.33333333333333,84.0,85.66666666666667,97.66666666666667,87.0,91.33333333333333,94.33333333333333,85.66666666666667,81.33333333333333,102.33333333333333,94.0,105.66666666666667,58.0,51.0,44.333333333333336
75.33333333333333,84.33333333333333,78.0,84.33333333333333,82.66666666666667,82.0,87.33333333333333,94.33333333333333,91.0,81.66666666666667,79.33333333333333,87.33333333333333,91.0,89.0,92.0,45.333333333333336,95.66666666666667,77.33333333333333
75.0,77.0,81.0,84.0,79.33333333333333,84.33333333333333,118.0,123.33333333333333,122.66666666666667,87.0,80.33333333333333,87.0,97.33333333333333,96.33333333333333,99.33333333333333,82.33333333333333,48.333333333333336,45.666666666666664
77.66666666666667,79.66666666666667,79.66666666666667,110.66666666666667,81.0,99.0,77.66666666666667,77.0,35.666666666666664,91.0,82.33333333333333,78.66666666666667,135.33333333333334,96.33333333333333,104.66666666666667,49.333333333333336,61.0,78.0
73.0,78.0,82.66666666666667,73.66666666666667,98.33333333333333,80.0,86.33333333333333,74.0,75.33333333333333,90.33333333333333,94.33333333333333,97.33333333333333,84.33333333333333,90.66666666666667,86.0,85.33333333333333,64.66666666666667,48.666666666666664
